Id,Uid,Name,Country code,Country name,Country uid,Provider,Adm level,G0,G1,G2,G3,G4,Custom geo source
616,gn_3862286,Catamarca,AR,Argentina,gn_3865483,gn,1,gn_3865483,gn_3862286,,,,
608,gn_3861887,Chaco,AR,Argentina,gn_3865483,gn,1,gn_3865483,gn_3861887,,,,
598,gn_3861244,Chubut,AR,Argentina,gn_3865483,gn,1,gn_3865483,gn_3861244,,,,
587,gn_3860255,Cordoba,AR,Argentina,gn_3865483,gn,1,gn_3865483,gn_3860255,,,,
285,gn_3435214,Corrientes,AR,Argentina,gn_3865483,gn,1,gn_3865483,gn_3435214,,,,
279,gn_3434137,Entre Rios,AR,Argentina,gn_3865483,gn,1,gn_3865483,gn_3434137,,,,
269,gn_3433896,Formosa,AR,Argentina,gn_3865483,gn,1,gn_3865483,gn_3433896,,,,
512,gn_3853404,Jujuy,AR,Argentina,gn_3865483,gn,1,gn_3865483,gn_3853404,,,,
503,gn_3849574,La Pampa,AR,Argentina,gn_3865483,gn,1,gn_3865483,gn_3849574,,,,
498,gn_3848949,La Rioja,AR,Argentina,gn_3865483,gn,1,gn_3865483,gn_3848949,,,,
470,gn_3844419,Mendoza,AR,Argentina,gn_3865483,gn,1,gn_3865483,gn_3844419,,,,
218,gn_3430657,Misiones,AR,Argentina,gn_3865483,gn,1,gn_3865483,gn_3430657,,,,
462,gn_3843122,Neuquen,AR,Argentina,gn_3865483,gn,1,gn_3865483,gn_3843122,,,,
416,gn_3838830,Rio Negro,AR,Argentina,gn_3865483,gn,1,gn_3865483,gn_3838830,,,,
397,gn_3838231,Salta,AR,Argentina,gn_3865483,gn,1,gn_3865483,gn_3838231,,,,
384,gn_3837152,San Juan,AR,Argentina,gn_3865483,gn,1,gn_3865483,gn_3837152,,,,
379,gn_3837029,San Luis,AR,Argentina,gn_3865483,gn,1,gn_3865483,gn_3837029,,,,
367,gn_3836350,Santa Cruz,AR,Argentina,gn_3865483,gn,1,gn_3865483,gn_3836350,,,,
366,gn_3836276,Santa Fe,AR,Argentina,gn_3865483,gn,1,gn_3865483,gn_3836276,,,,
359,gn_3835868,Santiago del Estero,AR,Argentina,gn_3865483,gn,1,gn_3865483,gn_3835868,,,,
348,gn_3834450,Tierra del Fuego,AR,Argentina,gn_3865483,gn,1,gn_3865483,gn_3834450,,,,
338,gn_3833578,Tucuman,AR,Argentina,gn_3865483,gn,1,gn_3865483,gn_3833578,,,,
321721,gn_174982,Armenia,AM,Armenia,gn_174982,gn,0,gn_174982,,,,,
321746,gn_828259,Aragatsotn,AM,Armenia,gn_174982,gn,1,gn_174982,gn_828259,,,,
321722,gn_409313,Ararat,AM,Armenia,gn_174982,gn,1,gn_174982,gn_409313,,,,
321747,gn_828260,Armavir,AM,Armenia,gn_174982,gn,1,gn_174982,gn_828260,,,,
321748,gn_828261,Gegharkunik,AM,Armenia,gn_174982,gn,1,gn_174982,gn_828261,,,,
321749,gn_828262,Kotayk,AM,Armenia,gn_174982,gn,1,gn_174982,gn_828262,,,,
321750,gn_828263,Lori,AM,Armenia,gn_174982,gn,1,gn_174982,gn_828263,,,,
321751,gn_828264,Shirak,AM,Armenia,gn_174982,gn,1,gn_174982,gn_828264,,,,
321723,gn_409314,Syunik,AM,Armenia,gn_174982,gn,1,gn_174982,gn_409314,,,,
321752,gn_828265,Tavush,AM,Armenia,gn_174982,gn,1,gn_174982,gn_828265,,,,
321724,gn_409315,Vayots Dzor,AM,Armenia,gn_174982,gn,1,gn_174982,gn_409315,,,,
321730,gn_616051,Yerevan,AM,Armenia,gn_174982,gn,1,gn_174982,gn_616051,,,,
4151,gn_3577279,Aruba,AW,Aruba,gn_3577279,gn,0,gn_3577279,,,,,
3474,gn_2077456,Australia,AU,Australia,gn_2077456,gn,0,gn_2077456,,,,,
3630,gn_2177478,Australian Capital Territory,AU,Australia,gn_2077456,gn,1,gn_2077456,gn_2177478,,,,
3529,gn_2155400,New South Wales,AU,Australia,gn_2077456,gn,1,gn_2077456,gn_2155400,,,,
3460,gn_2064513,Northern Territory,AU,Australia,gn_2077456,gn,1,gn_2077456,gn_2064513,,,,
3513,gn_2152274,Queensland,AU,Australia,gn_2077456,gn,1,gn_2077456,gn_2152274,,,,
3454,gn_2061327,South Australia,AU,Australia,gn_2077456,gn,1,gn_2077456,gn_2061327,,,,
